STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-04-29,0,53,38
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-04-30,0.05,46,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-01,0,45,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-02,0.29,53,33
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-03,0.15,44,31
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-04,0.15,43,28
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-05,0,48,29
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-06,0,47,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-07,0,58,36
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-08,0,62,33
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-09,0,52,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-10,0.02,52,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-11,0,50,38
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-12,0,53,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-13,0,58,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-14,0.03,47,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-15,0.03,51,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-16,0.15,49,38
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-17,0.38,45,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-18,0.89,47,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-19,0.11,47,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-20,0.02,50,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-21,0.02,46,38
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-22,0.07,51,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-23,0.3,48,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-24,0,53,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-25,0,49,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-26,0,53,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-27,0,57,36
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-28,0,58,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-29,0.15,55,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-30,0.03,53,46
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-05-31,0.3,58,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-01,0.14,52,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-02,0.12,53,42
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-03,0.01,57,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-04,0.15,47,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-05,0.02,50,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-06,0.04,53,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-07,0,53,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-08,0,56,35
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-09,0.04,51,43
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-10,0,56,35
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-11,0,57,39
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-12,0,54,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-13,0.09,58,38
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-14,0.07,55,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-15,0.47,49,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-16,0.08,52,43
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-17,0,56,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-18,0,62,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-19,0.01,53,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-20,0,53,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-21,0.08,50,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-22,0.05,52,37
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-23,0.07,53,36
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-24,0.09,51,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-25,0,53,46
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-26,0,61,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-27,0,63,40
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-28,0.06,52,45
